Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Inward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Start link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activity Class),Custom field (Activity Type),Custom field (Biomica Delivery),Custom field (Budget),Custom field (Budget 2),Custom field (CRISPRIL WP),Custom field (Crispr Delivery),Custom field (DevOps Platform),Custom field (EVGN Description),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Experiment Name),Custom field (Lavie project),Custom field (Maturity Level),Custom field (Planned End),Custom field (Planned Start),Custom field (Priority),Custom field (Product),Custom field (Rank),Sprint
LoadProductions DAG,CPB-775,37814,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,20/12/2022 14:38,31/01/2023 07:42,12/09/2023 13:19,,23/01/2023 00:00,duduz,,,,,,,,,,;17/Jan/23 7:15 AM;hodayam;10800,;18/Jan/23 7:48 AM;hodayam;21600,;22/Jan/23 7:27 AM;hodayam;21600,;24/Jan/23 8:32 PM;hodayam;25200,;24/Jan/23 8:33 PM;hodayam;25200,;30/Jan/23 6:40 AM;hodayam;28800,;30/Jan/23 6:42 AM;hodayam;28800,;31/Jan/23 7:42 AM;hodayam;14400,,,,,,,,,,,,,,,,,,144000,0,176400,122%,144000,0,176400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,MicroBoost,0|i00ye7:,01/01/2023
PointHit UI,CHEM-589,38810,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,04/01/2023 16:48,12/02/2023 10:18,12/09/2023 13:19,,13/02/2023 00:00,duduz,hamutal.e,nira,robertoo,,,,,,,;01/Feb/23 8:16 AM;hodayam;18000,;01/Feb/23 8:17 AM;hodayam;10800,,,,,,,,,,,,,,,,,,,,,,,,288000,259200,28800,10%,288000,259200,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - CSO small molecules (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i00z53:,01/01/2023
UI to proceed after PointHit and DeepDock - Focused_PointHit,CHEM-549,37833,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,duduz,20/12/2022 15:39,27/02/2023 11:54,12/09/2023 13:19,,23/02/2023 00:00,alinsb,duduz,hamutal.e,nira,robertoo,,,,,,;22/Feb/23 8:04 AM;hodayam;25200,;22/Feb/23 8:04 AM;hodayam;25200,;26/Feb/23 9:19 AM;hodayam;25200,;27/Feb/23 11:46 AM;hodayam;25200,;27/Feb/23 11:54 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,144000,14400,129600,90%,144000,14400,129600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Feb/23 5:25 PM;hamutal.e;Focused_PointHit_UI_v2.pptx;https://jira.prod.evogene.host/secure/attachment/42608/Focused_PointHit_UI_v2.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - CSO small molecules (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i00yif:,01/02/2023
PointHit UI / Full PointHit - Feb,CHEM-617,40900,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,duduz,duduz,01/02/2023 08:16,27/02/2023 11:48,12/09/2023 13:19,,09/02/2023 00:00,alinsb,duduz,hamutal.e,hodayam,robertoo,,,,,,;06/Feb/23 6:18 AM;hodayam;25200,;09/Feb/23 6:22 AM;hodayam;25200,;09/Feb/23 6:22 AM;hodayam;25200,;09/Feb/23 6:23 AM;hodayam;25200,;16/Feb/23 12:25 PM;hodayam;21600,;16/Feb/23 12:26 PM;hodayam;25200,;16/Feb/23 12:26 PM;hodayam;25200,,,,,,,,,,,,,,,,,,,144000,0,172800,120%,144000,0,172800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/Feb/23 12:38 PM;hamutal.e;Full_PointHit_UI_v4.pptx;https://jira.prod.evogene.host/secure/attachment/42910/Full_PointHit_UI_v4.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - CSO small molecules (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i0102f:,01/02/2023
Protein description loader,CPB-773,37812,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,20/12/2022 14:34,27/02/2023 11:59,12/09/2023 13:19,,18/01/2023 00:00,duduz,,,,,,,,,,;09/Jan/23 8:22 AM;hodayam;10800,;10/Jan/23 7:40 AM;hodayam;10800,;11/Jan/23 7:41 AM;hodayam;3600,;27/Feb/23 11:59 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,86400,32400,54000,62%,86400,32400,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,MicroBoost,0|i00ydr:,01/01/2023
TANDA loader,CPB-772,37811,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,20/12/2022 14:32,27/02/2023 11:59,12/09/2023 13:19,,15/01/2023 00:00,duduz,,,,,,,,,,;15/Jan/23 8:17 AM;hodayam;18000,;16/Jan/23 7:08 AM;hodayam;25200,;17/Jan/23 7:15 AM;hodayam;14400,;27/Feb/23 11:59 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,86400,0,86400,100%,86400,0,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,MicroBoost,0|i00ydj:,01/01/2023
Busco Loader,CPB-771,37810,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,20/12/2022 14:31,27/02/2023 12:00,12/09/2023 13:19,,10/01/2023 00:00,duduz,,,,,,,,,,;12/Jan/23 7:27 AM;hodayam;28800,;27/Feb/23 12:00 PM;hodayam;28800,;27/Feb/23 12:00 PM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,86400,0,86400,100%,86400,0,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,MicroBoost,0|i00ydb:,01/01/2023
PointHit UI / Pharmacophore Calibration,CHEM-619,41001,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,02/02/2023 09:16,28/02/2023 11:44,12/09/2023 13:19,,16/02/2023 00:00,alinsb,hamutal.e,,,,,,,,,;16/Feb/23 12:26 PM;hodayam;25200,;16/Feb/23 12:26 PM;hodayam;25200,;20/Feb/23 6:45 AM;hodayam;25200,;27/Feb/23 11:47 AM;hodayam;25200,;27/Feb/23 11:48 AM;hodayam;25200,;28/Feb/23 11:44 AM;hodayam;7200,,,,,,,,,,,,,,,,,,,,144000,10800,133200,92%,144000,10800,133200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/Feb/23 12:36 PM;hamutal.e;Pharmacophore_calibration_UI_v4.pptx;https://jira.prod.evogene.host/secure/attachment/42909/Pharmacophore_calibration_UI_v4.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i0104n:,01/02/2023
Plasmids loader,CPB-888,42307,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,19/02/2023 10:00,01/03/2023 07:31,12/09/2023 13:19,,28/02/2023 00:00,duduz,,,,,,,,,,;27/Feb/23 12:01 PM;hodayam;25200,;01/Mar/23 5:58 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,115200,61200,54000,46%,115200,61200,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i010m7:,01/02/2023
Plasmids loader - Mar,CPB-924,43201,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,01/03/2023 07:30,05/03/2023 09:59,12/09/2023 13:19,,02/03/2023 00:00,duduz,,,,,,,,,,;02/Mar/23 12:09 PM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,,57600,28800,28800,50%,57600,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i01193:,01/03/2023
Load annotations support,CPB-925,43203,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,01/03/2023 08:42,09/03/2023 09:03,12/09/2023 13:19,,07/03/2023 00:00,duduz,,,,,,,,,,;06/Mar/23 8:58 AM;hodayam;28800,;09/Mar/23 9:02 AM;hodayam;28800,;09/Mar/23 9:03 AM;hodayam;5400,,,,,,,,,,,,,,,,,,,,,,,57600,0,63000,109%,57600,0,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",06/03/2023 00:00,,CPB-762,,,,,,,,,CPB,0|i0119j:,01/03/2023
PointHit config modifications after QA,CHEM-630,43334,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,alinsb,07/03/2023 08:17,26/03/2023 07:24,12/09/2023 13:19,,12/03/2023 00:00,alinsb,hamutal.e,hodayam,,,,,,,,;12/Mar/23 7:35 AM;hodayam;21600,;13/Mar/23 7:38 AM;hodayam;28800,;14/Mar/23 11:10 AM;hodayam;28800,;14/Mar/23 11:11 AM;hodayam;10800,;19/Mar/23 6:49 AM;hodayam;10800,;26/Mar/23 7:24 AM;hodayam;5400,,,,,,,,,,,,,,,,,,,,100800,0,106200,105%,100800,0,106200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/Mar/23 12:45 PM;hamutal.e;image-2023-03-15-14-44-33-972.png;https://jira.prod.evogene.host/secure/attachment/45001/image-2023-03-15-14-44-33-972.png,15/Mar/23 12:45 PM;hamutal.e;image-2023-03-15-14-44-52-546.png;https://jira.prod.evogene.host/secure/attachment/45002/image-2023-03-15-14-44-52-546.png,09/Mar/23 10:56 AM;hamutal.e;PointHit QA-1.docx;https://jira.prod.evogene.host/secure/attachment/44603/PointHit+QA-1.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i011i7:,01/03/2023
Dev support and upkeep (Hodaya) - Mar,CPB-920,43010,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,27/02/2023 14:03,30/03/2023 11:12,12/09/2023 13:19,,31/03/2023 00:00,duduz,,,,,,,,,,meeting for pointhit changes;16/Mar/23 10:52 AM;hodayam;10800,,,,,,,,,,,,,,,,,,,,,,,,,57600,46800,10800,18%,57600,46800,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Development,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i0115b:,01/03/2023
Active search UI,CHEM-552,37831,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,duduz,20/12/2022 15:35,30/03/2023 13:44,12/09/2023 13:19,,26/03/2023 00:00,duduz,hamutal.e,robertoo,,,,,,,,;16/Mar/23 10:57 AM;hodayam;14400,;16/Mar/23 10:57 AM;hodayam;28800,;16/Mar/23 10:58 AM;hodayam;16200,;20/Mar/23 7:41 AM;hodayam;25200,;23/Mar/23 6:14 AM;hodayam;25200,;23/Mar/23 6:14 AM;hodayam;28800,;26/Mar/23 7:37 AM;hodayam;21600,;27/Mar/23 8:51 AM;hodayam;28800,;29/Mar/23 9:51 AM;hodayam;28800,;29/Mar/23 9:51 AM;hodayam;28800,,,,,,,,,,,,,,,,288000,41400,246600,85%,288000,41400,246600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/Mar/23 2:28 PM;hamutal.e;ActiveSearch_UI.pptx;https://jira.prod.evogene.host/secure/attachment/45005/ActiveSearch_UI.pptx,21/Mar/23 10:13 PM;hamutal.e;ActiveSearch_UI_v2.pptx;https://jira.prod.evogene.host/secure/attachment/45406/ActiveSearch_UI_v2.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i00yhz:,01/03/2023
DeepDock UI for exsisting models,CHEM-550,37832,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,duduz,20/12/2022 15:37,02/04/2023 06:47,12/09/2023 13:19,,31/03/2023 00:00,alinsb,duduz,nira,robertoo,,,,,,,;02/Apr/23 6:47 AM;hodayam;28800,;02/Apr/23 6:47 AM;hodayam;25200,,,,,,,,,,,,,,,,,,,,,,,,144000,90000,54000,37%,144000,90000,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Mar/23 7:30 AM;hamutal.e;DeepDockUI.pptx;https://jira.prod.evogene.host/secure/attachment/46005/DeepDockUI.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - CSO small molecules (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",30/03/2023 00:00,,CHEM-595,,,,,,,,,ChemPass,0|i00yi7:,01/03/2023
DeepDock UI for exsisting models - Apr,CHEM-637,44802,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,duduz,duduz,27/03/2023 08:05,23/04/2023 09:13,12/09/2023 13:19,,04/04/2023 00:00,duduz,hamutal.e,,,,,,,,,;16/Apr/23 5:11 AM;hodayam;28800,;19/Apr/23 6:04 AM;hodayam;28800,;19/Apr/23 6:04 AM;hodayam;28800,;23/Apr/23 6:07 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,86400,0,115200,133%,86400,0,115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/Apr/23 4:30 PM;hamutal.e;DeepDockUI.pptx;https://jira.prod.evogene.host/secure/attachment/46902/DeepDockUI.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - CSO small molecules (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",04/04/2023 00:00,,CHEM-595,,,,,,,,,ChemPass,0|i011zb:,01/04/2023
ActiveSearch- modifications after QA- Dev,CHEM-661,45110,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,30/03/2023 13:44,30/04/2023 12:02,12/09/2023 13:19,,06/04/2023 00:00,alinsb,boazm,hamutal.e,,,,,,,,;18/Apr/23 7:40 AM;hodayam;28800,;23/Apr/23 6:08 AM;hodayam;5400,;23/Apr/23 11:54 AM;hodayam;3600,,,,,,,,,,,,,,,,,,,,,,,28800,0,37800,131%,28800,0,37800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-678,,,CHEM-552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/Apr/23 12:24 PM;hamutal.e;Active_Search_modification.pptx;https://jira.prod.evogene.host/secure/attachment/47702/Active_Search_modification.pptx,02/Apr/23 11:42 AM;hamutal.e;ActiveSearch_UI_v4.pptx;https://jira.prod.evogene.host/secure/attachment/46200/ActiveSearch_UI_v4.pptx,19/Apr/23 4:20 PM;hamutal.e;ActiveSearch_UI_v6.pptx;https://jira.prod.evogene.host/secure/attachment/47210/ActiveSearch_UI_v6.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i01293:,01/04/2023
 ActiveSearch- modifications after QA- Dev - May,CHEM-678,46702,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,30/04/2023 12:02,03/05/2023 10:01,12/09/2023 13:19,,04/05/2023 00:00,hamutal.e,,,,,,,,,,;03/May/23 6:22 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/Apr/23 12:02 PM;hamutal.e;Active_Search_modification.pptx;https://jira.prod.evogene.host/secure/attachment/47804/Active_Search_modification.pptx,30/Apr/23 12:02 PM;hamutal.e;ActiveSearch_UI_v4.pptx;https://jira.prod.evogene.host/secure/attachment/47805/ActiveSearch_UI_v4.pptx,30/Apr/23 12:02 PM;hamutal.e;ActiveSearch_UI_v6.pptx;https://jira.prod.evogene.host/secure/attachment/47806/ActiveSearch_UI_v6.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i012tz:,01/05/2023
PointHit POC support-Dev-cloned,CHEM-673,46602,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,alinsb,27/04/2023 07:22,04/05/2023 07:02,12/09/2023 13:19,,04/05/2023 00:00,alinsb,duduz,,,,,,,,,;03/May/23 10:23 AM;hodayam;28800,;04/May/23 7:02 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,28800,0,57600,200%,28800,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i012rz:,01/05/2023
Monitoring system-Dev,CHEM-644,44908,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,alinsb,28/03/2023 13:08,09/05/2023 06:09,12/09/2023 13:19,,16/05/2023 00:00,alinsb,,,,,,,,,,;07/May/23 7:39 AM;hodayam;28800,;08/May/23 7:28 AM;hodayam;28800,;09/May/23 6:09 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,86400,0,86400,100%,86400,0,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-687,,,,,,,,,ChemPass,0|i0121z:,01/05/2023
Genome page main UI - Droplist Annotations: Pathway (currently KEGG),MIC-760,41216,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,hodayam,larisar,larisar,05/02/2023 15:00,16/05/2023 07:04,12/09/2023 13:19,,31/05/2023 00:00,duduz,elanitec,larisar,,,,,,,,;11/May/23 7:39 AM;hodayam;28800,;11/May/23 7:39 AM;hodayam;28800,;14/May/23 7:04 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,86400,0,86400,100%,86400,0,86400,MIC-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-855,,,,,,,,,,,,23/Feb/23 3:42 PM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/43920/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i0109j:,01/05/2023
Genome page main UI - Droplist Annotations: TANDA-diamond,MIC-765,41221,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,hodayam,larisar,larisar,05/02/2023 15:11,22/05/2023 05:33,12/09/2023 13:19,,22/05/2023 00:00,elanitec,larisar,,,,,,,,,;22/May/23 5:33 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,,86400,57600,28800,33%,86400,57600,28800,MIC-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/Feb/23 3:59 PM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/43925/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i010an:,01/05/2023
