Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Labels,Description,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Gantt End to Start),Inward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Outward issue link (Hierarchy link (WBSGantt)),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (finish-start [GANTT]),Inward issue link (finish-start [GANTT]),Outward issue link (finish-start [GANTT]),Outward issue link (finish-start [GANTT]),Inward issue link (multi-level hierarchy [GANTT]),Outward issue link (multi-level hierarchy [GANTT]),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activity Class),Custom field (Activity Type),Custom field (AgPlenus Delivery),Custom field (AgPlenus Delivery),Custom field (Biomica Delivery),Custom field (Budget),Custom field (CRISPRIL WP),Custom field (DevOps Platform),Custom field (Domain),Custom field (EVGN Description),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Execution Status),Custom field (Experiment Name),Custom field (Lavie project),Custom field (Maturity Level),Custom field (Planned End),Custom field (Planned Start),Custom field (Priority),Custom field (Product),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Structure Index Monitor),Custom field (Task mode),Custom field (Task progress),Custom field (Teams),Custom field (Teams),Custom field (Work Station),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"evocogs, KOs and pathways assembly analysis on downloaded clean data from RJNA822660 - Normalization",INTBIOM-61,58307,Task,Closed,INTBIOM,Biomica Internal,software,drorf,,,Medium,,sharonl,sharonl,sassim,27/Sep/23 10:06 AM,31/Dec/23 7:42 AM,09/Apr/24 6:45 AM,,30/Nov/23 12:00 AM,0,,,,"Hi,

1) Please run *evocogs, KOs* *and pathways assembly analysis* on clean filtered data that was downloaded under PRJNA822660 in BIOM-332.

2) Please detail the number of evocogs in the evocogs database that is used for the refunder analysis.

3) Please detail the KEGG version used.

 4) At the end of the analysis please upload all relevant data to Metabacum.

5) Please transfer to X:\Data_for_Osnat raw abundance tables and relevant information such as number of proteins, protein annotation percent and so on.

 *DOD: All the above*

[~sassim]

[~osnatt]

 

Relevant processes:
|Process|stage 1|stage 2|days| |
|Assembly|[prism_assembly|https://airflow.evogene.host/dags/prism_assembly/grid]|[prism_mapping|https://airflow.evogene.host/dags/prism_mapping/grid]|2.5 | |
|Annotation|[bactana1|https://airflow.evogene.host/dags/bactana1/grid]|[bactana2|https://airflow.evogene.host/dags/bactana2/grid]|2.5| |
|Normalization|[multiple_genome_mapping_integrated|https://airflow.evogene.host/dags/multiple_genome_mapping_integrated/grid]| |2.5|<-------|
|Generate statistics in R|metabacum_data_statists.R| |2.5| |
| Generate sample_data.txt and upload and check the data| [MetaBacumLoadNCheck|https://airflow.evogene.host/dags/MetaBacumLoadNCheck/grid]| | 4| |",elanitec,iliab,sassim,sharonl,,,,,,,,,,,,,,,,,,,,72000,72000,,0%,72000,72000,,,,,,,,,,,,,,,,INTBIOM-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operational Task,,,,P255 - IBD (Biomica 2023),,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,INTBIOM-80,,,,,,,,,,MicroBoost,"0|i0188v:",Jan 2024,,,,,,,,,Bio-Info,,,"31/Dec/23 7:42 AM;sharonl;Biomica has decided not to work on 660 DATASET during 2024. 

",,,,,,,,,,,,,,,,,
"evocogs, KOs and pathways assembly analysis on downloaded clean data from RJNA822660 - Annotation",INTBIOM-60,58306,Task,Closed,INTBIOM,Biomica Internal,software,drorf,,,Medium,,sharonl,sharonl,sassim,27/Sep/23 10:03 AM,31/Dec/23 7:41 AM,09/Apr/24 6:45 AM,,31/Oct/23 12:00 AM,0,,,,"Hi,

1) Please run *evocogs, KOs* *and pathways assembly analysis* on clean filtered data that was downloaded under PRJNA822660 in BIOM-332.

2) Please detail the number of evocogs in the evocogs database that is used for the refunder analysis.

3) Please detail the KEGG version used.

 4) At the end of the analysis please upload all relevant data to Metabacum.

5) Please transfer to X:\Data_for_Osnat raw abundance tables and relevant information such as number of proteins, protein annotation percent and so on.

 *DOD: All the above*

[~sassim]

[~osnatt]

 

Relevant processes:
|Process|stage 1|stage 2|days|
|Annotation|[bactana1|https://airflow.evogene.host/dags/bactana1/grid]|[bactana2|https://airflow.evogene.host/dags/bactana2/grid]|2.5|",elanitec,iliab,sassim,sharonl,,,,,,,,,,,,,,,,,,,,72000,72000,,0%,72000,72000,,,,,,,,,,,,,,,,INTBIOM-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operational Task,,,,P255 - IBD (Biomica 2023),,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,INTBIOM-80,,,,,,,,,,MicroBoost,"0|i0188n:",Jan 2024,,,,,,,,,Bio-Info,,,"31/Dec/23 7:41 AM;sharonl;Biomica has decided not to work on 660 DATASET during 2024. This Epic is closed for now

",,,,,,,,,,,,,,,,,
"evocogs, KOs and pathways assembly analysis on downloaded clean data from PRJNA928744 - Generate sample_data.txt and Upload",INTBIOM-59,58304,Task,Closed,INTBIOM,Biomica Internal,software,drorf,,,Medium,,iliab,sharonl,elanitec,27/Sep/23 6:48 AM,13/Feb/24 1:32 PM,09/Apr/24 6:45 AM,,31/Jan/24 12:00 AM,0,,,,"After the assembly (INTBIOM-57) refunder (INTBIOM-108) and kraken (INTBIOM-104) are over, please generate the sample_data.txt and upload to metabacum.

QA that the table was upload correctly.

DOD:

The sample_data is loaded correctly to metabacum.

QA by product",drorf,elanitec,gala,iliab,sassim,,,";24/Jan/24 1:36 PM;iliab;14400",";28/Jan/24 7:46 AM;iliab;21600",";28/Jan/24 1:42 PM;iliab;14400",";30/Jan/24 8:15 AM;iliab;14400",";31/Jan/24 4:21 PM;iliab;28800",,,,,,,,,,,,86400,0,93600,108%,86400,0,93600,,,,,,,,,,,,INTBIOM-137,,,INTBIOM-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31/Jan/24 9:49 AM;iliab;Metadata component definitionV3.xlsx;https://jira.prod.evogene.host/secure/attachment/64300/Metadata+component+definitionV3.xlsx",,,,,,,,,,,,Operational Task,,,,P252 - Cancer Immun adjuvant (Biomica),,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,INTBIOM-78,,,,,,,,,,MicroBoost,"0|i01887:",Jan 2024,,,,,,,,,Bio-Info,,,"15/Oct/23 7:19 AM;drorf;As approved with [~elanitec] - This task will start in Nov Sprint","23/Jan/24 11:37 AM;gala;[~iliab]

Per biomica's request, please change the number of reads and number of clean reads to be R1+R2+unpaired in the sample_data script

FYI

[~sharonl] [~sassim] [~elanitec]","28/Jan/24 1:40 PM;iliab;Changes in PRISM_I_sum.py:
 |*Field*|*Previous version*|*New version*|
|number of raw reads|R1 only|R1 + R2|
|human_contamination_perc|Calculated from R1 only|Changed it but the percentage will be the same since the proportion of reads removed from R1 is equal to proportion of reads removed from R1 and R2 due to paired end data composition|
|number_of_clean_reads|R1 + unpaired|R1 + R2 + unpaired|
|total_trimmed from R1 and R2|New field|number of raw reads - number_of_clean_reads|
|total_raw_reads (R1 + R2)|Removed|Already displayed in ""number of raw reads""|

readcounts.txt is produced automatically.

-------------------------------------------------------------------------------------

[~anatm]

readcounts.txt for Sheba_2023 was updated  according to the Biomica request (now it is a total number of reads)

readcounts.txt for PRJNA928744 was created  (total number of reads like in the table above)

[~gala]

 ","28/Jan/24 2:39 PM;elanitec;[~iliab], are the changes listed above already implemented in FUNDA and metabacum?","29/Jan/24 2:21 PM;iliab;[~elanitec]

FUNDA reads from the readcounts.txt so yes for FUNDA.

Metabacum is not yet updated with the modified metadata.","30/Jan/24 5:52 AM;gala;Continue working on this task in Feb sprint under INTBIOM-137","30/Jan/24 1:40 PM;iliab;[~elanitec]

New format of the summary_sample_file_trimmed file.

K:\Dataser analysis tables for Biomica/summary_sample_file_trimmed_NEW.xlsx","30/Jan/24 4:11 PM;elanitec;Thanks","31/Jan/24 9:23 AM;iliab;The updated version of the summary_sample_file_trimmed for PRJNA928744:

X:\Biomica CS\PRJNA928744\summary_sample_file_trimmed.xlsx

 ","31/Jan/24 9:50 AM;iliab;[~elanitec]

I made small changes in the descriptions of the metadata:

[^Metadata component definitionV3.xlsx]

[~gala]","31/Jan/24 1:37 PM;elanitec;Thanks [~iliab]",,,,,,,
"evocogs, KOs and pathways assembly analysis on downloaded clean data from PRJNA928744 - Generate statistics in R",INTBIOM-58,58303,Task,Closed,INTBIOM,Biomica Internal,software,drorf,,,Medium,,sharonl,sharonl,elanitec,27/Sep/23 6:47 AM,28/Jan/24 8:49 AM,09/Apr/24 6:45 AM,,31/Oct/23 12:00 AM,0,,,,"Hi,

1) Please run *evocogs, KOs* *and pathways assembly analysis* on clean filtered data that was downloaded under PRJNA928744 in BIOM-331. 
 
2) Please detail the number of evocogs in the evocogs database that is used for the refunder analysis.

3) Please detail the KEGG version used.

4) At the end of the analysis please upload all relevant data to Metabacum.

5) Please transfer to X:\Data_for_Osnat raw abundance tables and relevant information such as number of proteins, protein annotation percent and so on.

*DOD: All the above.*
 

[~sassim]

[~osnatt]",drorf,elanitec,sassim,,,,,,,,,,,,,,,,,,,,,72000,72000,,0%,72000,72000,,,,,,,,,,,,,,,,INTBIOM-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operational Task,,,,P255 - IBD (Biomica 2023),,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,INTBIOM-78,,,,,,,,,,MicroBoost,"0|i0187z:",Jan 2024,,,,,,,,,Bio-Info,,,"15/Oct/23 7:18 AM;drorf;As approved with [~elanitec] - This task will start in Nov Sprint",,,,,,,,,,,,,,,,,
"evocogs, KOs and pathways assembly analysis on downloaded clean data from PRJNA928744 - Normalization",INTBIOM-57,58302,Task,Closed,INTBIOM,Biomica Internal,software,drorf,,,Medium,,iliab,sharonl,elanitec,27/Sep/23 6:47 AM,13/Feb/24 1:17 PM,09/Apr/24 6:45 AM,,26/Dec/23 12:00 AM,0,,,,"Please run the normalization step for dataset 744:
[https://airflow.evogene.host/dags/multiple_genome_mapping_integrated/grid]

 

When you're done please upload the abundance tables to metabacum.

QA that all of the abundance tables were uploaded correctly to the metabacum.

DOD:

The assembly abundance tables are loaded to metabacum properly.

 ",drorf,elanitec,gala,iliab,sassim,sharonl,,";21/Jan/24 9:14 AM;iliab;28800",";22/Jan/24 1:47 PM;iliab;14400",";23/Jan/24 1:04 PM;iliab;28800",,,,,,,,,,,,,,72000,0,72000,100%,72000,0,72000,,,,,,,,,,,,,,,INTBIOM-39,,,,,,,,,,,,BIOM-407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operational Task,,,,P252 - Cancer Immun adjuvant (Biomica),,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,INTBIOM-78,,,,,,,,,,MicroBoost,"0|i0187r:",Jan 2024,,,,,,,,,Bio-Info,,,"15/Oct/23 7:18 AM;drorf;As approved with [~elanitec] - This task will start in Nov Sprint","23/Jan/24 1:25 PM;iliab;Data was Normalized using [*Metagenome_normalization*|https://airflow.evogene.host/dags/Metagenome_normalization/grid] , loaded and checked using [*MetaBacumLoadNCheck*|https://airflow.evogene.host/dags/MetaBacumLoadNCheck/grid].

Matrices also can be found in *K:\MicroBoost\PRJNA928744\PRISM_results\Assembly.* 

Log of the automatic comparison:

""

3 annotation matrices will be compared to the corresponding tables in database
 PRJNA928744: Total number of samples in db is 71.
 PRJNA928744: Total number of samples in file is 71.
 PRJNA928744: Total number of pathway annotations of assembly in db is 231.
 PRJNA928744: Total number of pathway annotations of assembly in file is 231.
 /cpbclouds/biomica/workarea//PRJNA928744/pathways_matrix_abundance_norm.tsv is equal to the corresponding data (assembly,pathway) in db for PRJNA928744.
 PRJNA928744: Total number of samples in db is 71.
 PRJNA928744: Total number of samples in file is 71.
 PRJNA928744: Total number of ko annotations of assembly in db is 7472.
 PRJNA928744: Total number of ko annotations of assembly in file is 7472.
 /cpbclouds/biomica/workarea//PRJNA928744/ko_matrix_abundance_norm.tsv is equal to the corresponding data (assembly,ko) in db for PRJNA928744.
 PRJNA928744: Total number of samples in db is 71.
 PRJNA928744: Total number of samples in file is 71.
 PRJNA928744: Total number of evocog annotations of assembly in db is 374871.
 PRJNA928744: Total number of evocog annotations of assembly in file is 374871.

""","25/Jan/24 1:51 PM;sharonl;Hi [~iliab]
Please upload the files to X:\Biomica CS\744
Thanks","28/Jan/24 2:28 PM;gala;Hi [~sharonl]

We are still not done with all of 744.

Once we are done, if the metabacom is not working yet, we will copy the files.","30/Jan/24 10:34 AM;sharonl;Hi [~gala]
Please copy the files.
Thanks","30/Jan/24 1:30 PM;iliab;Copied the results to X:\Biomica CS\PRJNA928744\PRISM_results\Assembly

[~sharonl]","01/Feb/24 10:06 AM;iliab;Data can be downloaded from the UI now

[~sharonl]",,,,,,,,,,,
Load clinical metadata to clinicalDB for data in PRJNA822660,INTBIOM-47,57926,Task,Closed,INTBIOM,Biomica Internal,software,drorf,,,Medium,,duduz,sharonl,elanitec,20/Sep/23 12:34 PM,31/Dec/23 7:40 AM,09/Apr/24 6:45 AM,,31/Oct/23 12:00 AM,0,,,,"Hi,

 

Please upload clinical metadata to clinical DB, related to data downloaded under PRJNA822660.

[~osnatt] will attached the table in the next few days for upload.

 

[~sassim]",elanitec,sassim,sharonl,,,,,,,,,,,,,,,,,,,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,,,,BIOM-335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operational Task,,,,P255 - IBD (Biomica 2023),,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,INTBIOM-80,,,,,,,,,,CPB,"0|i017wf:",Jan 2024,,,,,,,,,Dev,,,"20/Sep/23 12:38 PM;elanitec;[~duduz] please add estimated effort","31/Dec/23 7:40 AM;sharonl;Biomica has decided not to work on 660 DATASET during 2024. 

",,,,,,,,,,,,,,,,
EVOLVE - A job run on 26.03.24 does not appear on the jobs list,GEN-128,66529,Bug,Closed,GEN,Generator,software,basiav,,,Medium,,itair,inbarp,inbarp,27/Mar/24 11:02 AM,31/Mar/24 2:22 PM,09/Apr/24 6:45 AM,,03/Apr/24 12:00 AM,0,,,,"A job run on 26.03.24 on Lavie Bio's environment by Inbar Patla numbered 1711436543621 does not appear on the jobs list. No email was received as well.

When searching for the job by typing [https://laviebio.prod.evogene.host/laviebio/platforms/dist/evolve/1711436543621]

the job appears and seems to work properly.",inbarp,itair,nira,,,,,";27/Mar/24 2:39 PM;itair;14400",";27/Mar/24 2:52 PM;inbarp;14400",";31/Mar/24 2:22 PM;itair;7200",,,,,,,,,,,,,,,0,36000,,,0,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (CPB),,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,,Generator,"0|i01fq7:",Mar-2024,,,,,,,,,Algo,,,"27/Mar/24 2:39 PM;itair;fixed","28/Mar/24 6:19 AM;inbarp;[~itair]

The problem repeats, please check this job no. 1711552248825.",,,,,,,,,,,,,,,,
BI Support ,GEN-122,66232,Task,Closed,GEN,Generator,software,basiav,,,Medium,,gala,drorf,drorf,12/Mar/24 11:45 AM,31/Mar/24 6:46 AM,09/Apr/24 6:45 AM,,31/Mar/24 12:00 AM,0,,,,BI Support ,drorf,,,,,,,"Meetings with Naama and Mark;13/Mar/24 6:22 AM;gala;7200","budget new work plan;13/Mar/24 6:22 AM;gala;7200","meetings and budget;21/Mar/24 1:45 PM;gala;7200",,,,,,,,,,,,,,,0,21600,,,0,21600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P402 - Casterra Generator,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",31/Mar/24 12:00 AM,,,,,,,,,,,,Generator,"0|i01e9b:",Mar-2024,,,,01/Mar/24 12:00 AM,,,,,Bio-Info,,,,,,,,,,,,,,,,,,,,
Centrelize tables in Generator new schema - Mar,GEN-121,66262,Task,Closed,GEN,Generator,software,basiav,,,Medium,,duduz,duduz,duduz,14/Mar/24 7:06 AM,21/Mar/24 10:02 AM,09/Apr/24 6:45 AM,,29/Feb/24 12:00 AM,0,SoftwareDevelopment,,,"We should centralize the following table, together with Roy:
 # Pathways – not consistent and all its references should be aligned with central_cpb.pathways IDs
 # U_go_relationships – Same as #1
 # U_go_terms – Same as #1
 # U_ortholog_groups – We should just copy all records with prodid=487 (orth_16v2) to cpb_central, and make some fixes in generator_u_orthologs in prodid=557 (ko_v2).
 # U_pathway2ko – Should be OK after the above fixes.

In this process, all IDs in associated tables should be aligned with the equivalent tables in cpb_central.",duduz,,,,,,,";14/Mar/24 12:36 PM;duduz;10800",";17/Mar/24 3:08 PM;duduz;14400",";19/Mar/24 4:05 PM;duduz;28800",";19/Mar/24 4:05 PM;duduz;3600",,,,,,,,,,,,,86400,28800,57600,66%,86400,28800,57600,,,,,,,,,,,,,,,GEN-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P402 - Casterra Generator,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,GEN-123,,,,,,,,,,Generator,"0|i01efz:",Mar-2024,,,,,,,,,Dev,,,,,,,,,,,,,,,,,,,,
Phyletic documentation,GEN-120,65212,Task,Closed,GEN,Generator,software,basiav,,,Medium,,michala,gala,gala,22/Feb/24 1:04 PM,28/Mar/24 9:49 AM,09/Apr/24 6:45 AM,,31/Mar/24 12:00 AM,0,,,,"1. Write tests for the new filter_vcf and and vcf_to_clusterd_trees.

2. Write documentation of the above two codes and the new Dag that runs them together. Describe what the codes are doing, stating the different optional modes of run and the input and output of each code and the Dag.

 

DOD:

1. tests are working for both codes

2. Documentation is available on confluence",gala,michala,,,,,,";19/Mar/24 12:55 PM;michala;43200",";20/Mar/24 2:12 PM;michala;43200",";24/Mar/24 11:58 AM;michala;28800",,,,,,,,,,,,,,115200,0,115200,100%,115200,0,115200,,,,,,,,,,,,,,,GEN-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P402 - Casterra Generator,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",21/Mar/24 12:00 AM,,INTCAS-5,,,,,,,,,,Generator,"0|i01den:",Mar-2024,,,,18/Mar/24 12:00 AM,,,,,Bio-Info,,,"18/Mar/24 11:41 AM;michala;Opened [http://confluence:8090/display/CG/Phyletic+-+2024] (still under construction)","21/Mar/24 12:03 PM;gala;I added two more days to support dev in the UI","28/Mar/24 9:48 AM;michala;Documentation is done (http://confluence:8090/display/CG/Phyletic+-+2024)

tests are done for both scripts (filter and tree).

Dag and codes were adjusted to UI, which is ready and working (and moved to castera environment). (https://castera.prod.evogene.host/castera/platforms/dist/phyletic)

 

 ",,,,,,,,,,,,,,,
Phyletic UI - rewrite to new arch.,GEN-119,65400,Task,Closed,GEN,Generator,software,basiav,,,Medium,,noama,duduz,duduz,26/Feb/24 7:29 AM,27/Mar/24 1:01 PM,09/Apr/24 6:45 AM,,14/Mar/24 12:00 AM,0,SoftwareDevelopment,,,"We'd like to rewrite the old Phyletic app and move it to the new architecture (APIs and Airflow).

The old app is located in Canonic dashboard:

[https://uweb/canonic/platforms/dist/#/Phyletic/PhyleticManager]

The code is in Platforms project.

The app will be built of 2 tabs: Form and Jobs (as in other apps).

+*The jobs tab:*+

Will show a table of the jobs from Airflow with the following columns:

ID (download result ZIP file), Job name, User name, Selected VCF, Status.

In this phase we'll only give an option of download results, and won't implement a tree-view as in the old version.

 

+*The Form tab*+ (Very similar to current form):
 # Select VCF from a list. Currently the VCF list is stored in a DB table. We should consider if to keep it like that or just use it hard-coded. Also, a description should be added to each VCF. All VCF file will be located in a dedicated folder in /cpbclouds (Path should be supplied by BI team).
 # Choose a filtration method (See mockup) :   
 a. Upload a SNP file with format of tab-delimited of separated lines. Each line with SNP and location. In addition, give an option to load a sample list.  
 b. Choose filter parameters and values from a list (Will be supplied by BI).
 # Submit: Send job to Airflow (Written by BI).

 

 ",duduz,,,,,,,"UI envelope design;03/Mar/24 12:58 PM;noama;28800","working on form UI display;04/Mar/24 1:05 PM;noama;14400","UI form tab
files loading options
help dialog
filter sliders;05/Mar/24 12:59 PM;noama;28800","start working on Generator.Phyletic API;06/Mar/24 1:20 PM;noama;28800",";10/Mar/24 4:54 AM;noama;28800","UI, form tab, and Jobs tab template;11/Mar/24 5:41 AM;noama;28800","sliders ui;12/Mar/24 6:27 AM;noama;14400","UI change display, replace slider with input box,
all options on display;17/Mar/24 4:55 AM;noama;28800","* generator does not start (moran is checking)
* ui updates
;17/Mar/24 1:10 PM;noama;21600","* UI fixes/updates
* API - in progress, load files and Airflow trigger;18/Mar/24 1:14 PM;noama;28800","UI & API are almost done waiting for final filters info and file examples from [~michala];19/Mar/24 12:48 PM;noama;28800","uploaded UI & api;20/Mar/24 1:04 PM;noama;21600",,,,,288000,0,302400,104%,288000,0,302400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26/Feb/24 7:55 AM;duduz;Phyletic_mockup.pptx;https://jira.prod.evogene.host/secure/attachment/66101/Phyletic_mockup.pptx",,,,,,,,,,,,,,,,P402 - Casterra Generator,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,INTCAS-5,,,,,,,,,,Generator,"0|i01dmn:",Mar-2024,,,,03/Mar/24 12:00 AM,,,,,Dev,,,,,,,,,,,,,,,,,,,,
Phyletic DAG,GEN-118,65211,Task,Closed,GEN,Generator,software,basiav,,,Medium,,michala,gala,gala,22/Feb/24 1:04 PM,21/Mar/24 10:01 AM,09/Apr/24 6:45 AM,,14/Mar/24 12:00 AM,0,,,,"The aim of this task is to create a new Dag, running both new phyletic codes: filter_vcf and vcf_to_clusterd_trees.

The Dag should be ran by the new Phyletic UI (talk to Dudu to check for any special UI needs). It should get a genome and a vcf list as an input, have an option to filter the vcf, and output a distance matrix and newick tree.

DOD:

A new Phyletic Dag is written and working properly, suiting UI needs.",gala,michala,,,,,,";13/Mar/24 6:13 AM;michala;28800",";14/Mar/24 8:34 AM;michala;14400",";18/Mar/24 9:32 AM;michala;14400",,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,GEN-120,,,GEN-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P402 - Casterra Generator,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",17/Mar/24 12:00 AM,,GEN-123,,,,,,,,,,Generator,"0|i01e32:",Mar-2024,,,,14/Mar/24 12:00 AM,,,,,Bio-Info,,,"18/Mar/24 9:35 AM;michala;Phyletic Dag was added to dags-production.

This Dag runs filter_vcf.py (optionally) and vcft2tree.py, to create a newick tree and distance matrix from a filtered/un-filtered vcf.

[https://airflow-cpb.prod.evogene.host/dags/phyletic/grid?dag_run_id=test1_sample_snp_lists]

 ",,,,,,,,,,,,,,,,,
filter vcf,GEN-117,65210,Task,Closed,GEN,Generator,software,basiav,,,Medium,,michala,gala,gala,22/Feb/24 1:03 PM,21/Mar/24 10:00 AM,09/Apr/24 6:45 AM,,12/Mar/24 12:00 AM,0,,,,"The aim of this task is to create a code for filtering a vcf file, to be used by phyletic tool.

In the old code there is $UNITY_ROOT/python/tools/reseq/filter_vcf.py that was previously used for that.

Please thoroughly understand the current, filter_vcf code, check if there are any new vcf tools that we can implement in the new code, and re-write it accordingly.

The current code filters by: 

- minimal genotype quality in defined fraction of the samples
- minimal coverage in a defined fraction of the samples
- minimal overall MAF in all samples together
- non-snvs or non bi-allelic sites

DOD:

A similar filter_vcf code is written and working properly in the new environment, with new tools implemented in it in case such were found.",gala,michala,,,,,,";10/Mar/24 2:51 PM;michala;14400",";11/Mar/24 1:52 PM;michala;14400",";14/Mar/24 8:35 AM;michala;14400",";14/Mar/24 6:08 PM;michala;28800",";18/Mar/24 9:32 AM;michala;14400",,,,,,,,,,,,86400,0,86400,100%,86400,0,86400,,,,,,,,,,,,GEN-118,,,GEN-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P402 - Casterra Generator,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",13/Mar/24 12:00 AM,,GEN-123,,,,,,,,,,Generator,"0|i01e31:",Mar-2024,,,,11/Mar/24 12:00 AM,,,,,Bio-Info,,,"11/Mar/24 2:34 PM;michala;filter_vcf.py was added to phyletic_tool project","18/Mar/24 10:48 AM;michala;This code gets a vcf file and outputs a vcf file filtered by one or all of the following optional filters:

snv - 'remove non-snv and multi-allelic variants', default in Dag = False
snp_list- 'list of SNPs to filter by'
sample_list - list of samples to filter by'
TH - 'minimum fraction/number of samples which should satisfy each filtering criteria. If >=1: abs number, if <1: fraction', default in Dag=0.9
GQ - 'minimum genotype qaulity', required=False, type=int) # default in Dag=20
MAF - 'minimum minor allele frequency', required=False, type=float) # default in Dag=0.1
MACF - 'minimum allele count frequency', required=False, type=float) # default in Dag=0.1
DP - 'minimum depth', required=False, type=int) # default in Dag=10
snp_only - 'removes non-snp variations', default in Dag = True",,,,,,,,,,,,,,,,
