Issue key,Issue id,Parent id,Custom field (Epic Link),Status,Custom field (Execution Status),Work Ratio,Due Date,Summary,Original Estimate,Time Spent,Assignee,Custom field (Budget),Custom field (Product),Sprint,Sprint,Creator,Custom field (Teams),Custom field (Teams)
MIC-1234,67005,,MIC-720,Closed,Delay - Duration,100%,15/05/2024 00:00,Fix - P273,28800,28800,itair,P273 - Product- Upkeep MB ,MicroBoost,5/1/24,,drorf,Algo,
MIC-1232,66995,,MIC-742,Closed,,100%,31/01/2024 00:00,fix - P273,14400,14400,michala,P273 - Product- Upkeep MB ,MicroBoost,1/1/24,,drorf,Bio-Info,
MIC-1231,66992,,MIC-742,Closed,,100%,31/01/2024 00:00,Fix P402 - Casterra,14400,14400,michala,P402 - Casterra Generator,MicroBoost,1/1/24,,drorf,Bio-Info,
MIC-1230,66971,,MIC-888,Closed,,100%,18/06/2024 00:00,New pathway app. - KEGG pathways/KOs visualization on Genome Page UI bugs,28800,28800,hodayam,P265 - Product- MB (Microboost),MicroBoost,6/1/24,,larisar,Dev,
MIC-1227,66822,,MIC-1157,Closed,As Planned,50%,26/06/2024 00:00,Production preparation for training set genomes - E. coli ,144000,72000,gala,P165 - VERB BIOTICS,MicroBoost,6/1/24,,elanitec,Bio-Info,
MIC-1225,66778,,MIC-1170,Closed,,,23/05/2024 00:00,LaviBio productions having problematic assignment to Bacum groups or ISIDor assigned incorrectly BI,,14400,gala,P271 - CPB Upkeep Computational (CPB),MicroBoost,5/1/24,,larisar,Bio-Info,
MIC-1223,66722,,MIC-1157,Closed,,100%,30/05/2024 00:00,Production (E.Coli_A26 and Enterococcus_faecalis) preparation for VB training set - Biomica,43200,43200,liorr,P165 - VERB BIOTICS,MicroBoost,5/1/24,,elanitec,Bio-Info,
MIC-1219,66700,,MIC-720,Closed,Delay - Duration,100%,15/05/2024 00:00,Fix Genome page main UI - Droplist Sequences & IGV - add interpro7 track ALGO May,28800,28800,itair,P271 - CPB Upkeep Computational (CPB),MicroBoost,5/1/24,,larisar,Algo,
MIC-1217,66670,,MIC-1170,Closed,,3%,23/05/2024 00:00,LaviBio productions having problematic assignment to Bacum groups or ISIDor assigned incorrectly DEV,57600,1800,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,5/1/24,,larisar,Dev,
MIC-1216,66664,,MIC-1157,Closed,,,30/04/2024 00:00,Production (E.Coli_A26 and Enterococcus_faecalis) preparation for VB training set - Lavie,,43200,liorr,P165 - VERB BIOTICS,MicroBoost,4/1/24,,erezn,Bio-Info,
MIC-1215,66624,,MIC-1127,Closed,As Planned,25%,29/04/2024 00:00,Bug: Isolates assignment to Bacum Groups for DEV,57600,14400,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,4/1/24,,iliab,Dev,
MIC-1212,66617,,MIC-1157,Closed,As Planned,30%,26/05/2024 00:00,Production preparation for training set genomes ,144000,43200,gala,P165 - VERB BIOTICS,MicroBoost,5/1/24,,elanitec,Bio-Info,
MIC-1211,66606,,MIC-888,Closed,As Planned,75%,27/05/2024 00:00,New pathway app. - fix MetaCyc DB flat files - empty PWYs,57600,43200,iliab,P265 - Product- MB (Microboost),MicroBoost,5/1/24,,larisar,Bio-Info,
MIC-1210,66605,,MIC-888,Closed,Delay - Effort,125%,29/06/2024 00:00,New pathway app. - fix MetaCyc DB flat files - Single Reactions,57600,72000,iliab,P265 - Product- MB (Microboost),MicroBoost,6/1/24,,larisar,Bio-Info,
MIC-1209,66576,,MIC-1127,Closed,As Planned,,08/04/2024 00:00,"F2O fails to run against ""All StrainDB"" - Biomica platform",,14400,noama,P273 - Product- Upkeep MB ,MicroBoost,4/1/24,,elanitec,Dev,
MIC-1207,66561,,MIC-1127,Closed,As Planned,,22/04/2024 00:00,Bug: Isolates assignment to Bacum Groups ,,165600,iliab,P271 - CPB Upkeep Computational (CPB),MicroBoost,4/1/24,,drorf,Bio-Info,
MIC-1204,66547,,MIC-1127,Closed,,,31/03/2024 00:00,Bug: Isolates assignment to Bacum Groups- IB,,25200,iliab,P271 - CPB Upkeep Computational (CPB),MicroBoost,3/1/24,,gala,Bio-Info,
MIC-1202,66524,,MIC-1127,Closed,,,31/03/2024 00:00,Bug: Isolates assignment to Bacum Groups ,,21600,liorr,P271 - CPB Upkeep Computational (CPB),MicroBoost,3/1/24,,elanitec,Bio-Info,
MIC-1182,66446,,MIC-888,Closed,As Planned,70%,31/07/2024 00:00,New pathway app. - MetaCyc proteins visualization on Genome Page UI,86400,61200,noama,P265 - Product- MB (Microboost),MicroBoost,7/1/24,,larisar,Dev,
MIC-1181,66445,,MIC-888,Closed,,100%,27/05/2024 00:00,New pathway app. - KO visualization on Genome Page UI,86400,86400,hodayam,P265 - Product- MB (Microboost),MicroBoost,5/1/24,,larisar,Dev,
MIC-1180,66444,,MIC-720,Closed,As Planned,50%,30/04/2024 00:00,Please fix interpro7 annotaion file extention during annotation,57600,28800,michala,P271 - CPB Upkeep Computational (CPB),MicroBoost,4/1/24,,larisar,Bio-Info,
MIC-1176,66438,,MIC-888,Closed,As Planned,137%,24/06/2024 00:00,New pathway app. - complete missing tables and support their upload to SQL DB Jun2024,57600,79200,iliab,P265 - Product- MB (Microboost),MicroBoost,6/1/24,,larisar,Bio-Info,
MIC-1175,66437,,MIC-888,Closed,,100%,27/05/2024 00:00,New pathway app. - KEGG pathways visualization on Genome Page UI,144000,144000,hodayam,P265 - Product- MB (Microboost),MicroBoost,5/1/24,,larisar,Dev,
MIC-1174,66429,,MIC-720,Closed,Delay - Duration,50%,08/04/2024 00:00,Fix Genome page main UI - Droplist Sequences & IGV - add interpro7 track DEV Apr,57600,28800,hodayam,P273 - Product- Upkeep MB ,MicroBoost,4/1/24,,larisar,Dev,
MIC-1173,66428,,MIC-1157,Closed,As Planned,20%,15/04/2024 00:00,Production preparation for training set genomes ,144000,28800,gala,P165 - VERB BIOTICS,MicroBoost,4/1/24,,elanitec,Bio-Info,
MIC-1172,66427,,MIC-1170,Closed,As Planned,100%,09/04/2024 00:00,Evaluate and add LaviBio productions that were not assigned to Bacum groups - BI,86400,86400,liorr,P271 - CPB Upkeep Computational (CPB),MicroBoost,4/1/24,,elanitec,Bio-Info,
MIC-1171,66426,,MIC-1170,Closed,As Planned,100%,02/04/2024 00:00,Evaluate and add LaviBio productions that were not assigned to Bacum groups - Dev,28800,28800,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,4/1/24,,elanitec,Dev,
MIC-1169,66418,,MIC-1157,Closed,As Planned,12%,07/04/2024 00:00,Linking literature reported urolithin pathway genes to EvoCOGs,57600,7200,gala,P165 - VERB BIOTICS,MicroBoost,4/1/24,,elanitec,Bio-Info,
MIC-1163,66273,,,Closed,,,31/05/2024 00:00,Test AUG,,,drorf,P271 - CPB Upkeep Computational (CPB),MicroBoost,8/1/24,,drorf,Seed Bank,
MIC-1162,66272,,,Closed,,,31/05/2024 00:00,Test JUL,,,drorf,P271 - CPB Upkeep Computational (CPB),MicroBoost,7/1/24,,drorf,Seed Bank,
MIC-1160,66270,,,Closed,,,31/05/2024 00:00,Test1,,360,drorf,P265 - Product- MB (Microboost),MicroBoost,5/1/24,,drorf,Seed Bank,
MIC-1158,66266,,MIC-1157,Closed,As Planned,60%,08/04/2024 00:00,Production preparation for training set genomes,144000,86400,gala,P165 - VERB BIOTICS,MicroBoost,4/1/24,,elanitec,Bio-Info,
MIC-1153,65202,,MIC-1060,Closed,,100%,29/02/2024 00:00,Fix productions with different name in fasta file - new prods Feb,86400,86400,michala,P271 - CPB Upkeep Computational (CPB),MicroBoost,2/1/24,,gala,Bio-Info,
MIC-1150,65108,,MIC-909,Closed,As Planned,,07/03/2024 00:00,RESEQ/SAUCE - rerun 2 productions after Algo and Dev updates to UI  -  BI ,,14400,gala,P265 - Product- MB (Microboost),MicroBoost,5/1/24,,erezn,Bio-Info,
MIC-1149,65106,,MIC-888,Closed,As Planned,100%,31/07/2024 00:00,New pathway app. - SQL DB infrastructure additions,86400,86400,duduz,P265 - Product- MB (Microboost),MicroBoost,7/1/24,,larisar,Dev,
MIC-1147,65102,,MIC-1127,Closed,,100%,31/03/2024 00:00,StrainDB: write summary of StrainDB update process from MB side CPB QA,86400,86400,michala,P273 - Product- Upkeep MB ,MicroBoost,3/1/24,,larisar,Bio-Info,
MIC-1143,64804,,MIC-720,Closed,,87%,27/02/2024 00:00,Fix Genome page main UI - Droplist Sequences & IGV - add interpro7 track DEV,28800,25200,hodayam,P273 - Product- Upkeep MB ,MicroBoost,2/1/24,,larisar,Dev,
MIC-1142,64505,,MIC-888,Closed,,106%,21/03/2024 00:00,New pathway app. - RXNs' data organization - Mar,201600,215100,iliab,P265 - Product- MB (Microboost),MicroBoost,3/1/24,,drorf,Bio-Info,
MIC-1140,64001,,MIC-1060,Closed,,100%,29/02/2024 00:00,Fix productions with different name in fasta file - Feb,144000,144000,michala,P271 - CPB Upkeep Computational (CPB),MicroBoost,2/1/24,,gala,Bio-Info,
MIC-1139,63806,,MIC-720,Closed,,50%,15/02/2024 00:00,Genome page - VFDB: results contain all hits per query prt instead of best hit only Feb2024,14400,7200,liorr,P273 - Product- Upkeep MB ,MicroBoost,2/1/24,,larisar,Bio-Info,
MIC-1138,63502,,MIC-1127,Closed,,50%,13/02/2024 00:00,A production that fails CorBac and does not appear in Forester generated trees,57600,28800,anatm,P271 - CPB Upkeep Computational (CPB),MicroBoost,2/1/24,,erezn,Algo,
MIC-1137,63011,,MIC-909,Closed,,,18/02/2024 00:00,RESEQ/SAUCE UI upgrades after MB QA - BI ,,,gala,P265 - Product- MB (Microboost),MicroBoost,2/1/24,,erezn,Bio-Info,
MIC-1136,63010,,MIC-909,Closed,,42%,18/02/2024 00:00,RESEQ/SAUCE UI upgrades after MB QA - Algo,201600,86400,itair,P265 - Product- MB (Microboost),MicroBoost,2/1/24,,erezn,Algo,
MIC-1135,62913,,MIC-888,Closed,,40%,26/02/2024 00:00,New pathway app. - fix CPB_CENTRAL.PATHWAYS content,144000,57600,duduz,P265 - Product- MB (Microboost),MicroBoost,2/1/24,,larisar,Dev,
MIC-1134,62912,,MIC-888,Closed,As Planned,100%,31/07/2024 00:00,New pathway app. - MetaCyc pathways visualization on Genome Page UI,115200,115200,noama,P265 - Product- MB (Microboost),MicroBoost,7/1/24,,larisar,Dev,
MIC-1132,62910,,MIC-888,Closed,,100%,29/02/2024 00:00,New pathway app. - RXNs' data organization,57600,57600,iliab,P265 - Product- MB (Microboost),MicroBoost,2/1/24,,larisar,Bio-Info,
MIC-1131,62908,,MIC-888,Closed,,100%,28/02/2024 00:00,New pathway app. - check/fix difference in PWYs number in DB vs file system,86400,86400,iliab,P265 - Product- MB (Microboost),MicroBoost,2/1/24,,larisar,Bio-Info,
MIC-1129,62906,,MIC-909,Closed,,83%,21/02/2024 00:00,RESEQ/SAUCE UI upgrades after MB QA - Dev,86400,72000,noama,P265 - Product- MB (Microboost),MicroBoost,2/1/24,,erezn,Dev,
MIC-1126,62901,,MIC-742,Closed,,32%,31/01/2024 00:00,Fix productions with different name in fasta file - New productions,144000,46800,michala,P271 - CPB Upkeep Computational (CPB),MicroBoost,1/1/24,,gala,Bio-Info,
MIC-1123,62817,,MIC-720,Closed,,9223372036854770000%,31/01/2024 00:00,VFDB run button,0,7200,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,1/1/24,,erezn,Dev,
MIC-1122,62816,,MIC-720,Closed,,25%,15/02/2024 00:00,Genome page - VFDB: results contain all hits per query prt instead of best hit only,28800,7200,liorr,P273 - Product- Upkeep MB ,MicroBoost,2/1/24,,larisar,Bio-Info,
MIC-1121,62814,,MIC-742,Closed,,81%,14/02/2024 00:00,Addition of Metadata components definition legend to Metabacum UI,57600,46800,noama,P273 - Product- Upkeep MB ,MicroBoost,2/1/24,,elanitec,Dev,
MIC-1120,62813,,MIC-1099,Closed,,112%,31/01/2024 00:00, BLAST tool for Microboost - added functionalities - Filtration,28800,32400,nerias,P192 - LAV 321 (Lavie),MicroBoost,1/1/24,,erezn,Dev,
MIC-1118,62601,,MIC-720,Closed,,100%,23/01/2024 00:00,Fix inconsistency in KEGG Pathway annotations on Cluster Page UI,28800,28800,duduz,P273 - Product- Upkeep MB ,MicroBoost,1/1/24,,larisar,Dev,
MIC-1117,62600,,,Closed,,,22/02/2024 00:00,Test,,,Iliaz,P271 - CPB Upkeep Computational (CPB),MicroBoost,2/1/24,,drorf,Dev,
MIC-1116,62502,,MIC-888,Closed,,100%,31/01/2024 00:00,New pathway app. - alignment on development status - Jan2024,28800,28800,iliab,P265 - Product- MB (Microboost),MicroBoost,1/1/24,,larisar,Bio-Info,
MIC-1108,60859,,MIC-720,Closed,,0%,11/01/2024 00:00,Genome Page: VFDB and antiSMASH - broken links in emails,14400,0,hodayam,P271 - CPB Upkeep Computational (CPB),MicroBoost,1/1/24,,larisar,Dev,
MIC-1106,60857,,MIC-720,Closed,,0%,26/12/2023 00:00,"Genome Page ""Droplist Annotations: Pathway"" (currently KEGG): fix file and tab name",28800,,hodayam,P265 - Product- MB (Microboost),MicroBoost,1/1/24,,larisar,Dev,
MIC-1103,60853,,MIC-742,Closed,,0%,07/01/2024 00:00,Production report generate distorted results Jan2024,14400,,robertoo,P271 - CPB Upkeep Computational (CPB),MicroBoost,1/1/24,,larisar,Algo,
MIC-1096,60704,,MIC-1060,Closed,,100%,31/01/2024 00:00,Fix productions with different name in fasta file - Jan,144000,144000,michala,P271 - CPB Upkeep Computational (CPB),MicroBoost,1/1/24,,gala,Bio-Info,
MIC-1090,60690,,MIC-909,Closed,,,05/01/2024 00:00,RESEQ/SAUCE UI - upload the data for Lysobacter_capsici_16803BG_67370ASM_19v1,,,duduz,P265 - Product- MB (Microboost),MicroBoost,1/1/24,,erezn,Dev,
MIC-1089,60689,,MIC-909,Closed,,50%,05/01/2024 00:00,RESEQ/SAUCE UI - rerun data for Lysobacter_capsici_16803BG_67370ASM_19v1 in airflow pipeline,144000,72000,gala,P265 - Product- MB (Microboost),MicroBoost,1/1/24,,erezn,Bio-Info,
MIC-1087,60681,,MIC-839,Closed,,125%,31/01/2024 00:00,Delete data for NHV runs after 30 days,28800,36000,nerias,P265 - Product- MB (Microboost),MicroBoost,1/1/24,,erezn,Dev,
MIC-1043,60100,,MIC-720,Closed,,66%,21/02/2024 00:00,Fix Genome page main UI - Droplist Sequences & IGV - add interpro7 track,86400,57600,itair,P273 - Product- Upkeep MB ,MicroBoost,2/1/24,,larisar,Algo,
LL-1021,65107,,,Closed,,,28/02/2024 00:00,CFU Liquid formulation 210224-31 to 37,,,sharonb,,,2/1/24,,adiela,,
LL-1019,65002,,,Closed,,,21/02/2024 00:00,cfu count of 40185 formulation 200224-1,,,zipir,,,2/1/24,,amirb,,
LL-1018,64904,,,Closed,,,20/02/2024 00:00,Cfu count of  49762 formulation 190224-1,,,zipir,,,2/1/24,,amirb,,
LL-1017,64903,,,Closed,,,26/02/2024 00:00,formulation 190224-2,,,zipir,,,2/1/24,,almogk,,
LL-1016,64902,,,Closed,,,26/02/2024 00:00,QC & 16s for 140224-31 to 34,,,sharonb,,,2/1/24,,adiela,,
LL-1013,64706,,,Closed,,,18/02/2024 00:00,count cfu of 1007791 formulations 150224-(1-7),,,zipir,,,2/1/24,,amirb,,
LL-1012,64600,,,Closed,,,29/02/2024 00:00,"CFU Liquid formulation 140224-31,32,33,34",,,larisap,,,2/1/24,,adiela,,
LL-1011,64504,,,Closed,,,29/02/2024 00:00,CFU Formulation 130224-71,,,larisap,,,2/1/24,,adiela,,
LL-1004,64100,,,Closed,,,07/02/2024 00:00,QC (without 16S) CFU count of 1009957 formulations 060224-(1-6),,,zipir,,,2/1/24,,amirb,,
LL-970,60819,,,Closed,,,31/01/2024 00:00,Sub-Banks for New Pythium discovery round-USA site,,,larisap,,,2/1/24,,zipir,,
LL-956,60654,,,Closed,,,31/12/2023 00:00,"ICL Cotton FE - please make new isolates from nurseries 1, 2, 3, 12, 17, 20 and 26",,,zipir,,,2/1/24,,shlomog,,
LL-949,60632,,,Closed,,,06/12/2023 00:00,Exp.12277 ICL cotton screen,,,larisap,,,2/1/24,,zipir,,
LL-946,60615,,,Closed,,,06/12/2023 00:00,Exp.12278 ICL cotton screen ,,,larisap,,,2/1/24,,zipir,,
LL-880,56603,,,Closed,,,30/11/2023 00:00,ICL Cotton - Exp. 12369 - Validation of endophytic capability predictions,,,larisap,,,2/1/24,,shlomog,,
LL-860,55200,,,Closed,,,21/08/2023 00:00,Sub banks from shipping ( CRW and Bradyrhizobium),,,zipir,,,2/1/24,,inbala,,
LL-831,52302,,,Closed,,,16/07/2023 00:00,Working stock preparation for WCRW,,,sharonb,,,2/1/24,,inbala,,
LBI-195,67354,,LBI-103,Closed,As Planned,50%,20/08/2024 00:00, BIF features details,28800,14400,gala,P85 -Syngenta (Lavie),MicroBoost,8/1/24,,erezn,Bio-Info,
LBI-193,67333,,,Closed,As Planned,,22/08/2024 00:00, ISID association with production in MB,,7200,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,8/1/24,,sharonl,Product,
LBI-192,67323,,,Closed,As Planned,,27/08/2024 00:00, production_fasta_files tool keeps failing on one production,,7200,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,8/1/24,,sharonl,Dev,
LBI-190,67306,,LBI-189,Closed,As Planned,,22/08/2024 00:00,"Missing ISID, Bacum info, etc. for two productions on MB - BI",,,gala,P999 - General (LavieBio),MicroBoost,8/1/24,,larisar,Bio-Info,
LBI-188,67246,,LBI-103,Closed,As Planned,50%,29/07/2024 00:00,Syngenta BIF - Calculate features for non-representative productions,86400,43200,iliab,P85 -Syngenta (Lavie),MicroBoost,7/1/24,,erezn,Bio-Info,
LBI-186,67224,,LBI-183,Closed,As Planned,100%,31/07/2024 00:00,Busco score presented in Bacum UI database tables (in MB apps) do not match F2O production busco score output data - thus causing F2O run failure- DEV,14400,14400,noama,P271 - CPB Upkeep Computational (CPB),MicroBoost,7/1/24,,inbarp,Dev,
LBI-185,67219,,LBI-183,Closed,As Planned,,31/07/2024 00:00,Busco score presented in Bacum UI database tables (in MB apps) do not match F2O production busco score output data - thus causing F2O run failure- MB QA,,28800,inbarp,P271 - CPB Upkeep Computational (CPB),MicroBoost,7/1/24,,sharonl,Product,
LBI-182,67070,,LBI-183,Closed,As Planned,,27/06/2024 00:00,Failed Forester job -Dev,,,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,6/1/24,,elanitec,Dev,
LBI-180,67066,,LBI-78,Closed,As Planned,25%,07/07/2024 00:00, IP Patents Knowledge Transfer Needs- July,57600,14400,markb,P86 -Product ( Lavie),CPB,7/1/24,,sharonl,Bio-Info,
LBI-179,67061,,LBI-103,Closed,As Planned,66%,18/07/2024 00:00,Run BIF models on training set- June,43200,28800,iliab,P85 -Syngenta (Lavie),MicroBoost,6/1/24,,gala,Bio-Info,
LBI-178,67008,,LBI-103,Closed,Delay - Effort,266%,18/07/2024 00:00,Run BIF models on training set,43200,115200,iliab,P85 -Syngenta (Lavie),MicroBoost,7/1/24,,erezn,Bio-Info,
LBI-176,66997,,LBI-78,Closed,,98%,31/01/2024 00:00,Fix P192,201600,198000,duduz,P192 - LAV 321 (Lavie),CPB,1/1/24,,drorf,Dev,
LBI-174,66941,,LBI-183,Closed,As Planned,,09/06/2024 00:00,Phylogenetic tree doesnt work DEV,,,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,6/1/24,,larisar,Dev,
LBI-173,66936,,LAV-592,Closed,As Planned,250%,26/06/2024 00:00,IP Lavie - transferring responsibility for Genomic Marker generation - Jun,28800,72000,markb,P86 -Product ( Lavie),MicroBoost,6/1/24,,drorf,Bio-Info,
LBI-170,66878,,LBI-183,Closed,As Planned,,03/06/2024 00:00,Problems with Blast (Lavie) - Jun,,14400,hodayam,P271 - CPB Upkeep Computational (CPB),MicroBoost,6/1/24,,duduz,Dev,
LBI-168,66844,,LBI-103,Closed,Delay - Effort,125%,13/06/2024 00:00,BioInsecticides: BIF prediction for Bacum (BI)- June,28800,36000,iliab,P85 -Syngenta (Lavie),MicroBoost,6/1/24,,gala,Bio-Info,
LBI-167,66819,,LBI-103,Closed,As Planned,100%,13/06/2024 00:00,BioInsecticides: BIF prediction for Bacum (BI),115200,115200,iliab,P85 -Syngenta (Lavie),MicroBoost,5/1/24,,erezn,Bio-Info,
LBI-166,66810,,LBI-79,Closed,As Planned,80%,27/06/2024 00:00,Production WCRW- EVOS202,144000,115200,gala,P145-Corteva - IA (Lavie),MicroBoost,6/1/24,,sharonl,Bio-Info,
LBI-163,66748,,LBI-183,Closed,As Planned,,03/06/2024 00:00,Problems with Blast (Lavie),,28800,hodayam,P271 - CPB Upkeep Computational (CPB),MicroBoost,5/1/24,,erezn,Dev,
LBI-161,66710,,LBI-103,Closed,,150%,30/04/2024 00:00, BIF -  ALGO Support MAY`24,57600,86400,anatm,P85 -Syngenta (Lavie),MicroBoost,5/1/24,,erezn,Algo,
LBI-159,66703,,LAV-615,Closed,As Planned,,05/05/2024 00:00,CLONE - 2 productions with problematic annotations failing Corbac,,3600,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,5/1/24,,erezn,Dev,
LBI-158,66679,,LBI-103,Closed,As Planned,100%,08/05/2024 00:00,BioInsecticides- BIF: BIF Model Training (BI) May 24,57600,57660,iliab,P85 -Syngenta (Lavie),MicroBoost,5/1/24,,erezn,Bio-Info,
LBI-156,66677,,LBI-103,Closed,,,30/05/2024 00:00,BIF - DevOps Support May 24,,,taln,P85 -Syngenta (Lavie),MicroBoost,5/1/24,,erezn,DevOps,
LBI-155,66669,,LBI-103,Closed,As Planned,50%,02/05/2024 00:00,Translate clusters to EVOCOGs,28800,14400,gala,P85 -Syngenta (Lavie),MicroBoost,5/1/24,,erezn,Bio-Info,
LBI-154,66640,,LAV-615,Closed,As Planned,,30/04/2024 00:00,2 productions with problematic annotations failing Corbac,,14400,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,4/1/24,,erezn,Dev,
LBI-152,66615,,LBI-103,Closed,As Planned,104%,22/05/2024 00:00,BioInsecticides: BIF prediction for Bacum group reps.(BI),288000,302400,iliab,P85 -Syngenta (Lavie),MicroBoost,5/1/24,,erezn,Bio-Info,
LBI-151,66614,,LBI-103,Closed,As Planned,100%,31/05/2024 00:00,BioInsecticides- calculate BIF features for Bacum Reps.,86400,86400,liorr,P85 -Syngenta (Lavie),MicroBoost,5/1/24,,erezn,Bio-Info,
LBI-150,66556,,LBI-103,Closed,As Planned,100%,10/03/2024 00:00,CLONE - BioInsecticides- BIF Feature preparation - KO/PWY/IPR,57600,57600,liorr,P85 -Syngenta (Lavie),MicroBoost,4/1/24,,erezn,Bio-Info,
LBI-148,66542,,LBI-76,Closed,As Planned,,11/04/2024 00:00,BUG-A serratia genome that does not cluster with other serratia,,,gala,P999 - General (LavieBio),MicroBoost,4/1/24,,elanitec,Bio-Info,
LBI-146,66472,,LBI-103,Closed,As Planned,75%,16/04/2024 00:00,BioInsecticides- BIF Feature preparation - biological activity features - APR,57600,43200,michala,P85 -Syngenta (Lavie),MicroBoost,4/1/24,,drorf,Bio-Info,
LBI-144,66414,,LBI-103,Closed,As Planned,0%,18/04/2024 00:00,BioInsecticides- downloading public genomes for BIF TS (BI) -APR'24,57600,,gala,P85 -Syngenta (Lavie),MicroBoost,4/1/24,,erezn,Bio-Info,
LBI-143,66413,,LBI-103,Closed,As Planned,30%,30/04/2024 00:00,BioInsecticides- calculate features for BIF model training set,144000,43200,liorr,P85 -Syngenta (Lavie),MicroBoost,4/1/24,,erezn,Bio-Info,
LBI-141,66411,,LBI-103,Closed,Delay - Effort,100%,12/04/2024 00:00,BioInsecticides- Generate DAG for BIF model features,115200,115200,liorr,P85 -Syngenta (Lavie),MicroBoost,4/1/24,,erezn,Bio-Info,
LBI-139,66409,,LBI-103,Closed,,,30/04/2024 00:00,BIF - DevOps Support Apr'24,,0,taln,P85 -Syngenta (Lavie),MicroBoost,4/1/24,,erezn,DevOps,
LBI-138,66408,,LBI-103,Closed,As Planned,50%,30/04/2024 00:00,BIF -  ALGO Support April`24,57600,28800,anatm,P85 -Syngenta (Lavie),MicroBoost,4/1/24,,erezn,Algo,
LBI-136,66406,,LBI-103,Closed,As Planned,5%,30/04/2024 00:00,BioInsecticides- Public productions for BIF TS (BI),144000,7200,gala,P85 -Syngenta (Lavie),MicroBoost,4/1/24,,erezn,Bio-Info,
